Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16658664k(6205724k free), swap 39727336k(22385664k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-29T15:36:02.919+0800: 0.524: [Full GC (Ergonomics) [PSYoungGen: 29179K->20149K(58368K)] [ParOldGen: 175030K->175019K(175104K)] 204209K->195169K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0168741 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.937+0800: 0.542: [Full GC (Ergonomics) [PSYoungGen: 29328K->21145K(58368K)] [ParOldGen: 175019K->175031K(175104K)] 204348K->196177K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0196654 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.958+0800: 0.563: [Full GC (Ergonomics) [PSYoungGen: 29408K->21648K(58368K)] [ParOldGen: 175031K->174888K(175104K)] 204440K->196536K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0190107 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.978+0800: 0.583: [Full GC (Ergonomics) [PSYoungGen: 29361K->23761K(58368K)] [ParOldGen: 174888K->174963K(175104K)] 204249K->198725K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0192676 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:02.998+0800: 0.604: [Full GC (Ergonomics) [PSYoungGen: 29681K->25235K(58368K)] [ParOldGen: 174963K->174397K(175104K)] 204645K->199633K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0194893 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.019+0800: 0.624: [Full GC (Ergonomics) [PSYoungGen: 29696K->24587K(58368K)] [ParOldGen: 174397K->175019K(175104K)] 204093K->199606K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0045312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:03.024+0800: 0.629: [Full GC (Ergonomics) [PSYoungGen: 29562K->25903K(58368K)] [ParOldGen: 175019K->174496K(175104K)] 204581K->200399K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0151394 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.040+0800: 0.645: [Full GC (Ergonomics) [PSYoungGen: 29163K->26159K(58368K)] [ParOldGen: 174496K->174780K(175104K)] 203659K->200939K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0108825 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:03.052+0800: 0.657: [Full GC (Ergonomics) [PSYoungGen: 29678K->26778K(58368K)] [ParOldGen: 174780K->174780K(175104K)] 204458K->201559K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0036450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:03.056+0800: 0.661: [Full GC (Ergonomics) [PSYoungGen: 29426K->26804K(58368K)] [ParOldGen: 174780K->174548K(175104K)] 204206K->201352K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0194833 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.076+0800: 0.681: [Full GC (Ergonomics) [PSYoungGen: 29690K->27689K(58368K)] [ParOldGen: 174548K->175080K(175104K)] 204239K->202770K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0191887 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.096+0800: 0.701: [Full GC (Ergonomics) [PSYoungGen: 29481K->28358K(58368K)] [ParOldGen: 175080K->174774K(175104K)] 204561K->203133K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0109755 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:03.107+0800: 0.712: [Full GC (Ergonomics) [PSYoungGen: 29679K->28052K(58368K)] [ParOldGen: 174774K->174965K(175104K)] 204454K->203018K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0235106 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.131+0800: 0.736: [Full GC (Ergonomics) [PSYoungGen: 29661K->28277K(58368K)] [ParOldGen: 174965K->174979K(175104K)] 204626K->203257K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0158945 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-29T15:36:03.148+0800: 0.753: [Full GC (Ergonomics) [PSYoungGen: 29299K->28670K(58368K)] [ParOldGen: 174979K->174878K(175104K)] 204278K->203548K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0137410 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:03.162+0800: 0.767: [Full GC (Ergonomics) [PSYoungGen: 29664K->29235K(58368K)] [ParOldGen: 174878K->174683K(175104K)] 204543K->203918K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0021897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:03.164+0800: 0.769: [Full GC (Ergonomics) [PSYoungGen: 29696K->29566K(58368K)] [ParOldGen: 174683K->174584K(175104K)] 204379K->204150K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0129470 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-29T15:36:03.177+0800: 0.782: [Full GC (Ergonomics) [PSYoungGen: 29566K->29566K(58368K)] [ParOldGen: 175080K->174584K(175104K)] 204646K->204150K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0024456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:03.179+0800: 0.785: [Full GC (Ergonomics) [PSYoungGen: 29641K->29566K(58368K)] [ParOldGen: 175102K->175030K(175104K)] 204744K->204597K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0020051 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-29T15:36:03.182+0800: 0.787: [Full GC (Allocation Failure) [PSYoungGen: 29566K->29566K(58368K)] [ParOldGen: 175030K->175011K(175104K)] 204597K->204577K(233472K), [Metaspace: 2688K->2688K(1056768K)], 0.0153819 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
Heap
 PSYoungGen      total 58368K, used 29696K [0x00000000fab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 29696K, 100% used [0x00000000fab00000,0x00000000fc800000,0x00000000fc800000)
  from space 28672K, 0% used [0x00000000fe400000,0x00000000fe400000,0x0000000100000000)
  to   space 28672K, 0% used [0x00000000fc800000,0x00000000fc800000,0x00000000fe400000)
 ParOldGen       total 175104K, used 175011K [0x00000000f0000000, 0x00000000fab00000, 0x00000000fab00000)
  object space 175104K, 99% used [0x00000000f0000000,0x00000000faae8cf0,0x00000000fab00000)
 Metaspace       used 2719K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 293K, capacity 386K, committed 512K, reserved 1048576K
